2325.42,,infrared mercury line,Hg
1970.09,,infrared mercury line,Hg
1529.582,,infrared mercury line,Hg
1060,,neodymium glass laser,Nd
1013.98,t,infrared mercury line,Hg
852.11,s,infrared cesium line,Cs
706.5188,r,red helium line,He
656.2725,C,red hydrogen line,H
643.8469,C',red cadmium line,Cd
632.8,,helium-neon-gas-laser,He-Ne
589.2938,D,center of double sodium line,Na
587.5618,d,yellow helium line,He
546.074,e,green mercury line,Hg
486.1327,F,blue hydrogen line,H
479.9914,F',blue cadmium line,Cd
435.8343,g,blue mercury line,Hg
404.6561,h,violet mercury line,Hg
365.014, I,ultraviolet mercury line,Hg
334.1478,,ultraviolet mercury line,Hg
312.5663,,ultraviolet mercury line,Hg
296.7278,,ultraviolet mercury line,Hg
280.4,,ultraviolet mercury line,Hg
248.3,,ultraviolet mercury line,Hg
